T (K),Lambda(T),H_Coll,H_el
3.8905e4,1.2674e-15,5.3064e-12,1.0317e-13
4.3152e4,1.4806e-15,6.1987e-12,1.2052e-13
4.7863e4,1.7295e-15,7.2410e-12,1.4078e-13
5.3088e4,2.0204e-15,8.4586e-12,1.6445e-13
5.8884e4,2.3601e-15,9.8810e-12,1.9211e-13
6.5313e4,2.7570e-15,1.1542e-11,2.2441e-13
7.2444e4,3.2206e-15,1.3483e-11,2.6215e-13
8.0353e4,3.7621e-15,1.5751e-11,3.0623e-13
8.9125e4,4.3947e-15,1.8399e-11,3.5772e-13
9.8855e4,5.1337e-15,2.1493e-11,4.1787e-13
1.0965e5,5.9969e-15,2.5107e-11,4.8814e-13
1.2162e5,7.0054e-15,2.9329e-11,5.7022e-13
1.3490e5,8.1833e-15,3.4261e-11,6.6610e-13
1.4962e5,9.5594e-15,4.0022e-11,7.7811e-13
1.6596e5,1.1167e-14,4.6752e-11,9.0895e-13
1.8408e5,1.3045e-14,5.4613e-11,1.0618e-12
2.0417e5,1.5238e-14,6.3797e-11,1.2403e-12
2.2646e5,1.7800e-14,7.4524e-11,1.4489e-12
2.5119e5,2.0794e-14,8.7056e-11,1.6926e-12
2.7861e5,2.4290e-14,1.0169e-10,1.9772e-12
3.0903e5,2.8375e-14,1.1880e-10,2.3096e-12
3.4277e5,3.3146e-14,1.3877e-10,2.6980e-12
3.8019e5,3.8720e-14,1.6211e-10,3.1517e-12
4.2170e5,4.5230e-14,1.8936e-10,3.6816e-12
4.6774e5,5.2836e-14,2.2121e-10,4.3007e-12
5.1880e5,6.1720e-14,2.5840e-10,5.0239e-12
5.7544e5,7.2097e-14,3.0185e-10,5.8686e-12
6.3826e5,8.4215e-14,3.5258e-10,6.8553e-12
7.0795e5,9.8358e-14,4.1179e-10,8.0074e-12
7.8524e5,1.1485e-13,4.8082e-10,9.3520e-12
8.7096e5,1.3402e-13,5.6111e-10,1.0920e-11
9.6605e5,1.5625e-13,6.5416e-10,1.2744e-11
1.0715e6,1.8187e-13,7.6138e-10,1.4861e-11
1.1885e6,2.1117e-13,8.8398e-10,1.7308e-11
1.3183e6,2.4433e-13,1.0227e-9,2.0120e-11
